id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
099050aa,2020-03-22,1,0,,,,,,,,,1,2,2,4,0,1,1,3,2,1,1,0,0,2,-50.52,-62.04,-50.6,-50,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-03-23,1,0,,,,,,,,,1,2,2,4,0,1,1,3,2,1,1,0,0,2,-50.52,-62.04,-50.6,-50,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-03-24,1,0,,,,,,,,,1,2,2,4,0,1,1,3,2,1,1,0,0,2,-50.52,-62.04,-50.6,-50,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-03-25,1,0,,,,,,,,,1,2,2,4,0,1,1,3,2,1,1,0,0,2,-50.52,-62.04,-50.6,-50,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-03-26,1,0,,,,,,,,,1,2,2,4,0,1,1,3,2,1,1,0,0,2,-50.52,-62.04,-50.6,-50,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-03-27,1,0,,,,,,,,,1,2,2,4,0,1,1,3,2,1,1,0,0,2,-55.21,-62.04,-50.6,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-03-28,1,0,,,,,,,,,1,2,2,4,0,1,1,3,2,1,1,0,0,2,-55.21,-62.04,-50.6,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-03-29,1,0,,,,,,,,,1,2,2,4,0,1,1,3,2,1,1,0,0,2,-55.21,-62.04,-50.6,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-03-30,1,0,,,,,,,,,1,2,2,4,0,1,1,3,2,1,1,0,0,2,-55.21,-62.04,-50.6,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-03-31,1,0,,,,,,,,,1,2,2,4,0,1,1,3,2,1,1,0,0,2,-55.21,-62.04,-50.6,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
099050aa,2020-04-01,1,0,,,,,,,,,1,2,2,4,0,1,1,3,2,1,1,0,0,2,-55.21,-62.04,-50.6,-87.5,3,United States,Iowa,Kossuth,43.2123603820802,-94.206868674079,14813,USA,US,840,USD,19109,ChIJyTmjgQ6y84cRBf6iCvbyP6w,,US19109,,USA.16.55_1
