invoice,date,storenumber,storename,address,city,zipcode,storelocation,countynumber,county,category,categoryname,vendornumber,vendorname,itemnumber,itemdescription,pack,bottlevolume,statebottlecost,statebottleretail,bottlessold,sale,volumesoldl,volumesoldg
INV-42102300009,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1031100,American Vodkas,260,DIAGEO AMERICAS,37996,Smirnoff 80prf,12,750,$8.25 ,$12.38 ,2,24.76,1.5,0.39
INV-42102600012,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1081300,American Cordials & Liqueur,434,LUXCO INC,79336,Paramount Creme de Menthe Green,12,750,$5.00 ,$7.50 ,2,15,1.5,0.39
INV-42102600008,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1011200,Straight Bourbon Whiskies,421,SAZERAC COMPANY  INC,21597,Ten High,12,1000,$4.94 ,$7.41 ,2,14.82,2,0.52
INV-42102500013,11/17/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1062400,Spiced Rum,259,Heaven Hill Brands,43028,Admiral Nelson Spiced,6,1750,$11.55 ,$17.33 ,6,103.98,10.5,2.77
INV-42102400005,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1062500,Flavored Rum,35,BACARDI USA INC,43137,Bacardi Limon,12,1000,$9.50 ,$14.25 ,1,14.25,1,0.26
INV-42102600014,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1032100,Imported Vodkas,370,PERNOD RICARD USA,34008,Absolut Swedish Vodka 80prf,6,1750,$19.99 ,$29.99 ,1,29.99,1.75,0.46
INV-42102500001,11/17/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1011300,Single Barrel Bourbon Whiskies,421,SAZERAC COMPANY  INC,21589,EH Taylor Jr Single Barrel,6,750,$33.34 ,$50.01 ,1,50.01,0.75,0.19
INV-42101500043,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64864,Fireball Cinnamon Whiskey,24,375,$5.33 ,$8.00 ,24,192,9,2.37
INV-42102500014,11/17/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1031100,American Vodkas,260,DIAGEO AMERICAS,38008,Smirnoff 80prf PET,6,1750,$14.75 ,$22.13 ,12,265.56,21,5.54
INV-42102500008,11/17/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1011100,Blended Whiskies,260,DIAGEO AMERICAS,25608,Seagrams 7 Crown,6,1750,$12.96 ,$19.44 ,6,116.64,10.5,2.77
