invoice,date,storenumber,storename,address,city,zipcode,storelocation,countynumber,county,category,categoryname,vendornumber,vendorname,itemnumber,itemdescription,pack,bottlevolume,statebottlecost,statebottleretail,bottlessold,sale,volumesoldl,volumesoldg
INV-37561500012,6/16/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-93.20277500000002 43.286886),55,Kossuth,1082000,Imported Cordials & Liqueurs,130,DISARONNO INTERNATIONAL,64136,Disaronno Amaretto,12,750,$14.51 ,$21.77 ,2,43.54,1.5,0.39
INV-37561100028,6/16/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1031100,American Vodkas,434,LUXCO INC,36308,Hawkeye Vodka,6,1750,$7.17 ,$10.76 ,6,64.56,10.5,2.77
INV-37561100024,6/16/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1031100,American Vodkas,260,DIAGEO AMERICAS,38008,Smirnoff 80prf PET,6,1750,$14.75 ,$22.13 ,6,132.78,10.5,2.77
INV-37558700004,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1011200,Straight Bourbon Whiskies,305,Mhw LTD,21100,Punchers Chance,6,750,$15.38 ,$23.07 ,2,46.14,1.5,0.39
INV-37558900004,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1011100,Blended Whiskies,661,Bedford & Grove LLC/ Chankaska Creek and Ranch Winery,73135,Ranch Road Hard Hops Imperial,6,750,$23.33 ,$35.00 ,3,105,2.25,0.59
INV-37561000015,6/16/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,11298,Crown Royal,6,1750,$32.99 ,$49.49 ,6,296.94,10.5,2.77
INV-37558800001,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1011200,Straight Bourbon Whiskies,125,CEDAR RIDGE VINEYARDS LL,27369,Cedar Ridge Port Cask Finished Bourbon,6,750,$25.50 ,$38.25 ,2,76.5,1.5,0.39
INV-37561500008,6/16/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-93.20277500000002 43.286886),55,Kossuth,1082200,Imported Schnapps,421,SAZERAC COMPANY  INC,69637,Dr McGillicuddys Cherry,12,1000,$11.00 ,$16.50 ,12,198,12,3.17
INV-37561500014,6/16/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-93.20277500000002 43.286886),55,Kossuth,1012100,Canadian Whiskies,322,Prestige Wine & Spirits Group / United States Distilled Products Co,15247,Windsor Canadian,12,1000,$6.29 ,$9.44 ,2,18.88,2,0.52
INV-37560400026,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1041100,American Dry Gins,259,Heaven Hill Brands,29568,Burnetts Gin London Dry,6,1750,$10.50 ,$15.75 ,6,94.5,10.5,2.77
INV-37561000028,6/16/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1031100,American Vodkas,297,Laird & Company,35918,Five O'Clock Vodka,6,1750,$7.20 ,$10.80 ,12,129.6,21,5.54
INV-37560400045,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1032200,Imported Flavored Vodka,260,DIAGEO AMERICAS,75165,Ketel One Botanical Cucumber & Mint,12,750,$11.33 ,$17.00 ,12,204,9,2.37
INV-37561000022,6/16/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1081400,American Schnapps,380,Phillips Beverage,83363,Ice Hole Butterscotch Schnapps,12,750,$5.15 ,$7.73 ,10,77.3,7.5,1.98
INV-37560400049,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1032200,Imported Flavored Vodka,370,PERNOD RICARD USA,34026,Absolut Peppar,12,750,$9.99 ,$14.99 ,12,179.88,9,2.37
INV-37560400075,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011400,Tennessee Whiskies,368,Park Street Imports,26966,Uncle Nearest 1856 Aged Whiskey,6,750,$29.33 ,$44.00 ,6,264,4.5,1.18
INV-37561100027,6/16/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1031100,American Vodkas,55,SAZERAC NORTH AMERICA,35318,Barton Vodka,6,1750,$6.92 ,$10.38 ,6,62.28,10.5,2.77
INV-37560400030,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1022200,100% Agave Tequila,421,SAZERAC COMPANY  INC,89496,Margaritaville Gold Tequila,12,750,$7.51 ,$9.41 ,12,100.8,9,2.37
INV-37558700015,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1071100,Cocktails /RTD,121,COOPER SPIRITS INTERNATIONAL,74737,Hochstadters Slow & Low Can,24,100,$2.50 ,$3.75 ,2,7.5,0.2,0.05
INV-37560800002,6/16/2021,5928,Casey's General Store #1762 / Algona,602 E State Street,Algona              ,50511,POINT (-94.230221 43.068899),55,Kossuth,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10803,Crown Royal Regal Apple Mini,10,50,$7.35 ,$11.03 ,10,110.3,0.5,0.13
INV-37561000029,6/16/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1031100,American Vodkas,55,SAZERAC NORTH AMERICA,35318,Barton Vodka,6,1750,$6.92 ,$10.38 ,6,62.28,10.5,2.77
INV-37561500020,6/16/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-93.20277500000002 43.286886),55,Kossuth,1081500,Triple Sec,434,LUXCO INC,86507,Paramount Triple Sec,12,1000,$3.84 ,$5.76 ,12,69.12,12,3.17
INV-37561100006,6/16/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1012100,Canadian Whiskies,259,Heaven Hill Brands,11788,Black Velvet,6,1750,$10.45 ,$15.68 ,30,470.4,52.5,13.86
INV-37560400074,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1062400,Spiced Rum,240,William Grant & Sons Inc,45886,Sailor Jerry Spiced Navy Rum,12,750,$10.00 ,$15.00 ,12,180,9,2.37
INV-37558700024,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1071100,Cocktails /RTD,260,DIAGEO AMERICAS,56782,Captain Morgan Tropical Punch RTD,6,1750,$11.00 ,$16.50 ,3,49.5,5.25,1.38
INV-37558700029,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1012300,Single Malt Scotch,266,Edrington Group USA LLC,5486,Macallan 12YR,12,750,$40.01 ,$60.02 ,1,60.02,0.75,0.19
INV-37560400073,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1032200,Imported Flavored Vodka,260,DIAGEO AMERICAS,64418,Ciroc Summer Watermelon,12,750,$16.49 ,$24.74 ,12,296.88,9,2.37
INV-37560400003,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1031100,American Vodkas,301,FIFTH GENERATION INC,38176,Titos Handmade Vodka,12,750,$10.00 ,$15.00 ,300,4500,225,59.43
INV-37558700058,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1091100,American Distilled Spirit Specialty,578,S&B Farms Distillery,77049,Sir Winston Apple,6,750,$13.01 ,$19.52 ,6,117.12,4.5,1.18
INV-37560400010,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1062500,Flavored Rum,370,PERNOD RICARD USA,43902,Malibu Strawberry,12,750,$7.99 ,$11.99 ,12,134.88,9,2.37
INV-37561100004,6/16/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1011100,Blended Whiskies,434,LUXCO INC,23268,Calvert Extra Blend Whiskey,6,1750,$11.02 ,$16.53 ,6,99.18,10.5,2.77
INV-37560800003,6/16/2021,5928,Casey's General Store #1762 / Algona,602 E State Street,Algona              ,50511,POINT (-94.230221 43.068899),55,Kossuth,1012100,Canadian Whiskies,259,Heaven Hill Brands,11776,Black Velvet,12,750,$5.23 ,$7.85 ,12,94.2,9,2.37
INV-37560400005,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1012100,Canadian Whiskies,259,Heaven Hill Brands,11588,Black Velvet Reserve,6,1750,$12.99 ,$19.49 ,60,1169.4,105,27.73
INV-37560400038,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011200,Straight Bourbon Whiskies,619,Campari America,22156,Wild Turkey 101,12,750,$14.00 ,$21.00 ,12,252,9,2.37
INV-37560400068,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1081300,American Cordials & Liqueur,434,LUXCO INC,79966,Arrow Creme de Almond,12,750,$4.74 ,$7.11 ,6,42.66,4.5,1.18
INV-37561000016,6/16/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1012200,Scotch Whiskies,260,DIAGEO AMERICAS,10278,Ushers Green Stripe,6,1750,$10.00 ,$15.00 ,6,90,10.5,2.77
INV-37561200001,6/16/2021,5978,Casey's General Store #2460 / Algona,1414 N. Main St,Algona              ,50511,POINT (-94.217851 43.081677),55,Kossuth,1031100,American Vodkas,301,FIFTH GENERATION INC,38174,Titos Handmade Vodka,12,375,$5.42 ,$8.13 ,12,97.56,4.5,1.18
INV-37560400066,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1082200,Imported Schnapps,421,SAZERAC COMPANY  INC,69667,Dr McGillicuddys Vanilla,12,1000,$11.00 ,$16.50 ,6,99,6,1.58
INV-37561400014,6/16/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1071100,Cocktails /RTD,55,SAZERAC NORTH AMERICA,57174,Chi-Chi's Skinny Margarita,6,1750,$6.50 ,$9.75 ,6,51.78,10.5,2.77
INV-37558700018,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1012300,Single Malt Scotch,205,E & J Gallo Winery,4825,Dalmore 12YR,6,750,$35.00 ,$52.50 ,1,52.5,0.75,0.19
INV-37560700006,6/16/2021,5469,Chrome Truck Stop,211 Highway 18 E.,Algona              ,50511,POINT (-94.233234 43.082769),55,Kossuth,1032100,Imported Vodkas,370,PERNOD RICARD USA,34006,Absolut Swedish Vodka 80prf,12,750,$9.99 ,$14.99 ,12,179.88,9,2.37
INV-37561000008,6/16/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1012100,Canadian Whiskies,259,Heaven Hill Brands,11586,Black Velvet Reserve,12,750,$7.00 ,$10.50 ,12,126,9,2.37
INV-37561000001,6/16/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1701100,Temporary & Specialty Packages,65,Jim Beam Brands,19239,Knob Creek 12YR,6,750,$35.00 ,$52.50 ,6,315,4.5,1.18
INV-37558700031,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1012100,Canadian Whiskies,259,Heaven Hill Brands,13928,Mcmasters Canadian,6,1750,$9.00 ,$13.50 ,6,81,10.5,2.77
INV-37560800004,6/16/2021,5928,Casey's General Store #1762 / Algona,602 E State Street,Algona              ,50511,POINT (-94.230221 43.068899),55,Kossuth,1031100,American Vodkas,434,LUXCO INC,36305,Hawkeye Vodka PET,12,750,$3.34 ,$5.01 ,12,60.12,9,2.37
INV-37560700012,6/16/2021,5469,Chrome Truck Stop,211 Highway 18 E.,Algona              ,50511,POINT (-94.233234 43.082769),55,Kossuth,1012100,Canadian Whiskies,259,Heaven Hill Brands,11786,Black Velvet PET,12,750,$5.23 ,$7.85 ,12,94.2,9,2.37
INV-37560400035,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011200,Straight Bourbon Whiskies,260,DIAGEO AMERICAS,17086,Bulleit Bourbon,12,750,$16.50 ,$24.75 ,12,297,9,2.37
INV-37560700007,6/16/2021,5469,Chrome Truck Stop,211 Highway 18 E.,Algona              ,50511,POINT (-94.233234 43.082769),55,Kossuth,1031100,American Vodkas,297,Laird & Company,35926,Five O'Clock Vodka PET,12,750,$3.37 ,$5.06 ,12,60.72,9,2.37
INV-37560700005,6/16/2021,5469,Chrome Truck Stop,211 Highway 18 E.,Algona              ,50511,POINT (-94.233234 43.082769),55,Kossuth,1031100,American Vodkas,297,Laird & Company,35914,Five O'Clock Vodka,24,375,$1.93 ,$2.90 ,48,139.2,18,4.75
INV-37558700044,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1062400,Spiced Rum,395,PROXIMO,46499,Kraken Black Spiced Rum 70prf,6,1750,$15.81 ,$23.72 ,1,23.72,1.75,0.46
INV-37561000010,6/16/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1012200,Scotch Whiskies,421,SAZERAC COMPANY  INC,10009,Scoresby Rare Scotch,12,1000,$6.74 ,$10.11 ,12,121.32,12,3.17
INV-37560400009,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1062400,Spiced Rum,395,PROXIMO,46504,Kraken Black Spiced Rum,12,750,$10.45 ,$15.68 ,12,188.16,9,2.37
INV-37558900003,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1081200,Cream Liqueurs,661,Bedford & Grove LLC/ Chankaska Creek and Ranch Winery,72973,North Forest Kreme Walnut,6,750,$15.39 ,$23.09 ,6,138.54,4.5,1.18
INV-37558700030,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1011100,Blended Whiskies,65,Jim Beam Brands,24457,Kessler Blend Whiskey,12,1000,$7.17 ,$10.76 ,12,129.12,12,3.17
INV-37560400023,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1012100,Canadian Whiskies,395,PROXIMO,14199,Pendleton Canadian Whisky,6,1750,$25.00 ,$37.50 ,6,225,10.5,2.77
INV-37558700034,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1012100,Canadian Whiskies,259,Heaven Hill Brands,11777,Black Velvet,12,1000,$6.63 ,$9.95 ,24,238.8,24,6.34
INV-37560400024,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1012400,Irish Whiskies,240,William Grant & Sons Inc,15940,Tullamore Dew Irish Whisky,12,750,$15.50 ,$23.25 ,12,270,9,2.37
INV-37561500004,6/16/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-93.20277500000002 43.286886),55,Kossuth,1062200,White Rum,434,LUXCO INC,45276,Paramount White Rum,12,750,$4.00 ,$6.00 ,4,24,3,0.79
INV-37561500007,6/16/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-93.20277500000002 43.286886),55,Kossuth,1031100,American Vodkas,260,DIAGEO AMERICAS,38006,Smirnoff 80prf PET,12,750,$8.25 ,$12.38 ,4,49.52,3,0.79
INV-37561500016,6/16/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-93.20277500000002 43.286886),55,Kossuth,1011100,Blended Whiskies,255,Infinium Spirits,87026,Skrewball Peanut Butter Whiskey,6,750,$18.50 ,$27.75 ,2,55.5,1.5,0.39
INV-37560400058,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011200,Straight Bourbon Whiskies,434,LUXCO INC,21206,Rebel KSBW,12,750,$8.50 ,$12.75 ,6,76.5,4.5,1.18
INV-37561200005,6/16/2021,5978,Casey's General Store #2460 / Algona,1414 N. Main St,Algona              ,50511,POINT (-94.217851 43.081677),55,Kossuth,1012100,Canadian Whiskies,259,Heaven Hill Brands,11774,Black Velvet,24,375,$3.07 ,$4.61 ,24,110.64,9,2.37
INV-37560400019,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1081300,American Cordials & Liqueur,322,Prestige Wine & Spirits Group / United States Distilled Products Co,75210,Kinky Pink,6,750,$10.00 ,$15.00 ,6,90,4.5,1.18
INV-37561400016,6/16/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1701100,Temporary & Specialty Packages,65,Jim Beam Brands,19239,Knob Creek 12YR,6,750,$35.00 ,$52.50 ,3,157.5,2.25,0.59
INV-37561100001,6/16/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1011200,Straight Bourbon Whiskies,434,LUXCO INC,16988,Bourbon Supreme Bourbon,6,1750,$10.00 ,$15.00 ,6,90,10.5,2.77
INV-37561100029,6/16/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1031100,American Vodkas,297,Laird & Company,35918,Five O'Clock Vodka,6,1750,$7.20 ,$10.80 ,6,64.8,10.5,2.77
INV-37558700056,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1091100,American Distilled Spirit Specialty,578,S&B Farms Distillery,77052,Hog Wild Cinnamon,6,750,$12.00 ,$18.00 ,6,108,4.5,1.18
INV-37558700027,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26826,Jack Daniels Old #7 Black Label,12,750,$15.57 ,$23.36 ,1,23.36,0.75,0.19
INV-37560400002,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011400,Tennessee Whiskies,368,Park Street Imports,26707,Uncle Nearest 1884 Small Batch Whiskey,6,750,$26.66 ,$39.99 ,6,239.94,4.5,1.18
INV-37558900005,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1011600,Straight Rye Whiskies,661,Bedford & Grove LLC/ Chankaska Creek and Ranch Winery,26142,Ranch Road Rye Whiskey,6,750,$23.33 ,$35.00 ,3,105,2.25,0.59
INV-37558700021,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1012400,Irish Whiskies,370,PERNOD RICARD USA,65416,Jameson Cold Brew,6,750,$16.49 ,$24.74 ,6,148.44,4.5,1.18
INV-37558900006,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1011200,Straight Bourbon Whiskies,661,Bedford & Grove LLC/ Chankaska Creek and Ranch Winery,17260,Ranch Road Straight Bourbon Whiskey,6,750,$23.33 ,$35.00 ,3,105,2.25,0.59
INV-37561100019,6/16/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10804,Crown Royal Regal Apple,44,200,$4.72 ,$7.08 ,44,311.52,8.8,2.32
INV-37561000027,6/16/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1031100,American Vodkas,297,Laird & Company,35917,Five O'Clock Vodka,12,1000,$4.17 ,$6.26 ,48,300.48,48,12.68
INV-37558700062,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1031100,American Vodkas,297,Laird & Company,35914,Five O'Clock Vodka,24,375,$1.93 ,$2.90 ,24,69.6,9,2.37
INV-37560500001,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1071100,Cocktails /RTD,260,DIAGEO AMERICAS,56782,Captain Morgan Tropical Punch RTD,6,1750,$11.00 ,$16.50 ,12,198,21,5.54
INV-37561400006,6/16/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26828,Jack Daniels Old #7 Black Label,6,1750,$30.68 ,$46.02 ,6,276.12,10.5,2.77
INV-37561000021,6/16/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1031100,American Vodkas,301,FIFTH GENERATION INC,38178,Titos Handmade Vodka,6,1750,$19.00 ,$28.50 ,12,342,21,5.54
INV-37560400033,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011600,Straight Rye Whiskies,255,Infinium Spirits,27102,Templeton Rye 4YR,6,750,$18.09 ,$27.14 ,6,162.84,4.5,1.18
INV-37560400012,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1062500,Flavored Rum,259,Heaven Hill Brands,43986,Admiral Nelson Cherry Spiced,6,1750,$11.55 ,$17.33 ,6,103.98,10.5,2.77
INV-37560400056,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1081300,American Cordials & Liqueur,205,E & J Gallo Winery,557,Tippy Cow 50ml Sampler,15,400,$4.00 ,$6.00 ,15,90,6,1.58
INV-37560400062,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26827,Jack Daniels Old #7 Black Label,12,1000,$18.89 ,$28.34 ,6,170.04,6,1.58
INV-37560400007,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1031200,American Flavored Vodka,205,E & J Gallo Winery,39422,New Amsterdam Pink Whitney Mini,12,50,$4.61 ,$6.92 ,12,83.04,0.6,0.15
INV-37560400048,6/16/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1031200,American Flavored Vodka,380,Phillips Beverage,41989,UV Cake,12,750,$7.00 ,$10.50 ,12,126,9,2.37
INV-37561400009,6/16/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1031100,American Vodkas,55,SAZERAC NORTH AMERICA,35316,Barton Vodka,12,750,$3.37 ,$5.06 ,6,30.36,4.5,1.18
INV-37560800001,6/16/2021,5928,Casey's General Store #1762 / Algona,602 E State Street,Algona              ,50511,POINT (-94.230221 43.068899),55,Kossuth,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,100413,Fireball Cinnamon Whiskey Party Bucket,1,50,$51.60 ,$77.40 ,12,928.8,0.6,0.15
INV-37561000018,6/16/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1081200,Cream Liqueurs,300,McCormick Distilling Co.,65199,Tequila Rose Liqueur,12,1000,$12.00 ,$18.00 ,12,216,12,3.17
INV-37561500002,6/16/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-93.20277500000002 43.286886),55,Kossuth,1062400,Spiced Rum,260,DIAGEO AMERICAS,1799,Captain Morgan Original Spiced Barrel,6,1750,$18.00 ,$27.00 ,6,162,10.5,2.77
INV-37561400017,6/16/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1701100,Temporary & Specialty Packages,65,Jim Beam Brands,19490,Makers Mark Bespoke,6,750,$20.00 ,$30.00 ,3,90,2.25,0.59
INV-37558700026,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1011400,Tennessee Whiskies,85,Brown Forman Corp.,26827,Jack Daniels Old #7 Black Label,12,1000,$18.89 ,$28.34 ,12,340.08,12,3.17
INV-37558700005,6/16/2021,3842,Bancroft Liquor Store,107 N Portland St Po Bx 222,Bancroft            ,50517,POINT (-94.218 43.29355),55,Kossuth,1062500,Flavored Rum,649,Modern Matriarch,46608,Modern Matriarch Salted Caramel Flavored Rum,12,750,$15.00 ,$22.50 ,2,45,1.5,0.39
